superhero,Please list all the superpowers of 3-D Man.,3-D Man refers to superhero_name = '3-D Man'; superpowers refers to power_name,SELECT T3.power_name FROM superhero AS T1 INNER JOIN hero_power AS T2 ON T1.id = T2.hero_id INNER JOIN superpower AS T3 ON T2.power_id = T3.id WHERE T1.superhero_name = '3-D Man',simple,"WITH temp AS (
SELECT {{
 LLMQA (
    'Provide a list of super powers seperated by comma.',
    (SELECT superhero_name FROM superhero WHERE superhero.superhero_name = '3-D Man'),
    options=(superpower::power_name)
    )
}} AS powers
),
WITH Splitter AS (
    SELECT 
        TRIM(SUBSTR(powers, 1, INSTR(powers || ',', ',') - 1)) AS superpower,
        TRIM(SUBSTR(powers, INSTR(powers || ',', ',') + 1)) AS remaining
    FROM temp
  
    UNION ALL
    
    SELECT 
        TRIM(SUBSTR(remaining, 1, INSTR(remaining || ',', ',') - 1)) AS superpower,
        TRIM(SUBSTR(remaining, INSTR(remaining || ',', ',') + 1)) AS remaining
    FROM Splitter
    WHERE remaining != ''
)
SELECT superpower FROM Splitter;
"
superhero,"How many superheroes have the super power of ""Super Strength""?","super power of ""Super Strength"" refers to power_name = 'Super Strength'","SELECT COUNT(DISTINCT T1.hero_id) 
    FROM hero_power AS T1 INNER JOIN superpower AS T2 ON T1.power_id = T2.id
    JOIN superhero AS T3 ON T3.id = T1.hero_id
    WHERE T2.power_name = 'Super Strength'",simple,"SELECT COUNT(T1.superhero_name) 
    FROM superhero AS T1 
    WHERE {{
        LLMMap(
            'Does the hero has Super Strength?'
            'T1::superhero_name'
        )
    }} = TRUE
"
superhero,"Among the superheroes with the super power of ""Super Strength"", how many of them have a height of over 200cm?","super power of ""Super Strength"" refers to power_name = 'Super Strength'; a height of over 200cm refers to height_cm > 200",SELECT COUNT(T1.id) FROM superhero AS T1 INNER JOIN hero_power AS T2 ON T1.id = T2.hero_id INNER JOIN superpower AS T3 ON T2.power_id = T3.id WHERE T3.power_name = 'Super Strength' AND T1.height_cm > 200,moderate,"SELECT COUNT(T1.id) 
    FROM superhero AS T1 
    WHERE T1.height_cm > 200 AND {{
        LLMMap(
            'Does the hero has Super Strength?'
            'T1::superhero_name'
        )
    }} = TRUE
"
superhero,How many superheroes have blue eyes?,blue eyes refers to colour = 'Blue' and eye_colour_id = colour.id;,SELECT COUNT(T1.id) FROM superhero AS T1 INNER JOIN colour AS T2 ON T1.eye_colour_id = T2.id WHERE T2.colour = 'Blue',simple,"SELECT COUNT(T1.id) 
    FROM superhero AS T1 
    WHERE {{
        LLMMap(
            'Does the hero has blue eye?'
            'T1::superhero_name'
        )
    }} = TRUE
"
superhero,Please list the full names of all the superheroes with over 15 super powers.,15 super powers refers to COUNT(full_name) > 15,SELECT DISTINCT T1.full_name FROM superhero AS T1 INNER JOIN hero_power AS T2 ON T1.id = T2.hero_id GROUP BY T1.full_name HAVING COUNT(T2.power_id) > 15,simple,"SELECT DISTINCT T1.full_name 
FROM superhero AS T1
WHERE {{
        LLMMap(
            'Does the hero has more than 15 different powers?'
            'T1::superhero_name'
        )
    }} = TRUE
"
superhero,What is the colour of Apocalypse's skin?,Apocalypse refers to superhero_name = 'Apocalypse'; colour of skin refers to colour where skin_colour_id = colour.id,SELECT T2.colour FROM superhero AS T1 INNER JOIN colour AS T2 ON T1.skin_colour_id = T2.id WHERE T1.superhero_name = 'Apocalypse',simple,"SELECT {{
    LLMQA(
        'What is the colour of Apocalypses skin?',
        (SELECT 'Apocalypses' AS superhero_name UNION SELECT superhero_name FROM superhero AS T1 WHERE T1.superhero_name = 'Apocalypse'),
        options='colour::colour'
    )
}}
"
superhero,How many superheroes are published by Marvel Comics?,published by Marvel Comics refers to publisher_name = 'Marvel Comics',SELECT COUNT(T1.id) FROM superhero AS T1 INNER JOIN publisher AS T2 ON T1.publisher_id = T2.id WHERE T2.publisher_name = 'Marvel Comics',simple,"
SELECT COUNT(T1.id) 
    FROM superhero AS T1
    WHERE {{
        LLMMap(
        'Is the publisher Marvel Comics?',
        'T1::superhero_name'
        )
    }} = TRUE
"
superhero,"Among the superheroes with blue eyes, how many of them have the super power of ""Agility""?","blue eyes refers to colour = 'Blue' and eye_colour_id = colour.id; super power of ""Agility"" refers to power_name = 'Agility'",SELECT COUNT(T1.id) FROM superhero AS T1 INNER JOIN hero_power AS T2 ON T1.id = T2.hero_id INNER JOIN superpower AS T3 ON T2.power_id = T3.id INNER JOIN colour AS T4 ON T1.eye_colour_id = T4.id WHERE T3.power_name = 'Agility' AND T4.colour = 'Blue',moderate,"
SELECT COUNT(T1.id) 
    FROM superhero AS T1
    WHERE {{
        LLMMap(
        'Does the hero has blue eye?',
        'T1::superhero_name'
        )
    }} = TRUE AND {{
        LLMMap(
        'Does the hero has Agility power?',
        'T1::superhero_name'
        )
    }} = TRUE
"
superhero,Please list the superhero names of all the superheroes that have blue eyes and blond hair.,"blue eyes refers to colour = 'Blue' and eye_colour_id = colour.id; blond hair refers to colour = 'Blond' and hair_colour_id = colour.id; super power of ""Agility"" refers to power_name = 'Agility'",SELECT T1.superhero_name FROM superhero AS T1 INNER JOIN colour AS T2 ON T1.eye_colour_id = T2.id INNER JOIN colour AS T3 ON T1.hair_colour_id = T3.id WHERE T2.colour = 'Blue' AND T3.colour = 'Blond',challenging,"
SELECT T1.superhero_name 
    FROM superhero AS T1
    WHERE {{
        LLMMap(
        'Does the hero has blue eye?',
        'T1::superhero_name'
        )
    }} = TRUE AND {{
        LLMMap(
        'Does the hero has blond hair?',
        'T1::superhero_name'
        )
    }} = TRUE
"
superhero,What is the publisher's name of Blue Beetle II?,Blue Beetle II refers to superhero_name = 'Blue Beetle II',SELECT T2.publisher_name FROM superhero AS T1 INNER JOIN publisher AS T2 ON T1.publisher_id = T2.id WHERE T1.superhero_name = 'Blue Beetle II',simple,"
SELECT {{
    LLMMap(
        'Provide the publisher.',
        'superhero::superhero_name',
        options='publisher::publisher_name'
    )
}}
    FROM superhero
    WHERE superhero.superhero_name = 'Blue Beetle II'
"
